# strong X-ray emission lines with Emissivity>1e-18
# with 0.1 keV < energy < 10.1 keV
# www.atomdb.org/Webguide, uses atomDB 3.0.2
ion	ionization_stage	energy	wavelength	upper_lev	lower_lev	emissivity	kT	relative_intensity
#(-)	(-)	(keV)	(A)	(level)	(level)	(ph*cm3/s)	(keV)	(-)
Fe	XIX	1.128	10.9915966312	391	6	1.069E-018	0.8617	0
Na	X	1.128	10.9915966312	7	1	6.738E-018	0.4319	0
Ni	XXII	1.128	10.9915966312	73	1	1.087E-018	1.085	0
Ne	IX	1.127	11.0013496007	23	1	1.658E-017	0.3431	0
Fe	XIX	1.127	11.0013496007	405	7	1.819E-018	0.8617	0
Fe	XX	1.126	11.0111198934	286	7	1.004E-017	0.8617	0
Fe	XXIII	1.125	11.0209075556	13	1	7.632E-017	1.366	0.01
Fe	XX	1.125	11.0209075556	285	7	1.815E-018	0.8617	0
Fe	XVII	1.124	11.0307126335	131	1	1.587E-017	0.5437	0
Fe	XXIV	1.124	11.0307126335	7	2	7.852E-017	1.719	0.01
